Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA;ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA;CANCELADA;20591;FARMACêUTICO E HIGIENE
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATIVO;15423;EMP. ADM. PART. - SEM SETOR PRINCIPAL
AUFERVILLE TRUST SA;AUFERVILLE TRUST SA;CANCELADA;18562;SECURITIZAÇÃO DE RECEBÍVEIS
AUSTRAL INVESTIMENTOS SA;AUSTRAL INVESTIMENTOS SA;CANCELADA;14656;EMP. ADM. PARTICIPAÇÕES
AUTEL SA TELECOMUNICAÇOES;AUTEL SA TELECOMUNICAÇOES;CANCELADA;14419;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
AUTOMETAL S/A;AUTOMETAL S/A;CANCELADA;22381;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
AUTOPISTA FERNÃO DIAS SA;AUTOPISTA FERNÃO DIAS SA;ATIVO;21989;SERVIçOS TRANSPORTE E LOGíSTICA
AUTOPISTA FLUMINENSE SA;AUTOPISTA FLUMINENSE SA;ATIVO;22004;SERVIçOS TRANSPORTE E LOGíSTICA
AUTOPISTA LITORAL SUL;AUTOPISTA LITORAL SUL;ATIVO;21997;SERVIçOS TRANSPORTE E LOGíSTICA
AUTOPISTA PLANALTO SUL SA;AUTOPISTA PLANALTO SUL SA;ATIVO;21970;SERVIçOS TRANSPORTE E LOGíSTICA
AUTOPISTA REGIS BITTENCOURT SA;AUTOPISTA REGIS BITTENCOURT SA;ATIVO;21962;SERVIçOS TRANSPORTE E LOGíSTICA
AUTOTRAC COMERCIO E TELECOMUNICAÇÕES;AUTOTRAC COMERCIO E TELECOMUNICAÇÕES;CANCELADA;20311;SERVIçOS TRANSPORTE E LOGíSTICA
AUTOVIAS S/A;AUTOVIAS S/A;CANCELADA;21822;SERVIçOS TRANSPORTE E LOGíSTICA
AUXILIAR LEASING SA ARR MERC;AUXILIAR LEASING SA ARR MERC;CANCELADA;655;ARRENDAMENTO MERCANTIL
AUXILIAR SA PARTICIPACOES;AUXILIAR SA PARTICIPACOES;CANCELADA;11924;EMP. ADM. PARTICIPAÇÕES
AVAL SECURITIZADORA DE CREDITOS S.A.;AVAL SECURITIZADORA DE CREDITOS S.A.;CANCELADA;23973;SECURITIZAÇÃO DE RECEBÍVEIS
AVARA SA;AVARA SA;CANCELADA;12483;EMP. ADM. PARTICIPAÇÕES
AZEVEDO & TRAVASSOS SA;AZEVEDO & TRAVASSOS SA;ATIVO;11975;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
AZUL S.A.;AZUL S.A.;ATIVO;24112;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
B2W - COMPANHIA DIGITAL;B2W - COMPANHIA DIGITAL;ATIVO;20990;COMÉRCIO (ATACADO E VAREJO)
B3 S.A. - BRASIL, BOLSA, BALCÃO;B3 S.A. - BRASIL, BOLSA, BALCÃO;ATIVO;21610;BOLSAS DE VALORES/MERCADORIAS E FUTUROS
BACRAFT SA INDUSTRIA DE PAPEL;BACRAFT SA INDUSTRIA DE PAPEL;CANCELADA;680;PAPEL E CELULOSE
BAESA-ENERGETICA BARRA GRANDE SA;BAESA-ENERGETICA BARRA GRANDE SA;CANCELADA;19607;ENERGIA ELÉTRICA
BAHEMA AGROPECUARIA SA;BAHEMA AGROPECUARIA SA;CANCELADA;698;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
BAHEMA EDUCACAO S.A.;BAHEMA EDUCACAO S.A.;ATIVO;701;EMP. ADM. PART. - EDUCAçãO
BAHEMA EQUIPAMENTOS SA;BAHEMA EQUIPAMENTOS SA;CANCELADA;18155;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BAHIA OTHON PALACE HOTEL SA;BAHIA OTHON PALACE HOTEL SA;CANCELADA;710;HOSPEDAGEM E TURISMO
BAHIA TRUST DE RECEBIVEIS;BAHIA TRUST DE RECEBIVEIS;CANCELADA;16098;SERVICOS DIVERSOS
BALADARE PARTICIPAÇÕES S/A;BALADARE PARTICIPAÇÕES S/A;CANCELADA;21571;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BAMERINDUS SA CRED IMOBILIARIO;BAMERINDUS SA CRED IMOBILIARIO;CANCELADA;752;CRÉDITO IMOBILIÁRIO
BAMERINDUS SA FINANC CRED INV;BAMERINDUS SA FINANC CRED INV;CANCELADA;760;BANCOS
BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL;BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;744;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
